person_age,person_income,person_emp_length,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,person_home_ownership_OWN,person_home_ownership_RENT,loan_intent_EDUCATION,loan_intent_HOMEIMPROVEMENT,loan_intent_MEDICAL,loan_intent_PERSONAL,loan_intent_VENTURE,loan_grade_encoded,log_person_age,log_income
22,59000,123.0,D,35000,16.02,True,0.59,True,3,False,True,False,False,False,True,False,3,3.091042453358316,10.985309671896763
23,65500,4.0,C,35000,15.23,True,0.53,False,2,False,True,False,False,True,False,False,2,3.1354942159291497,11.089820688682373
24,54400,8.0,C,35000,14.27,True,0.55,True,4,False,True,False,False,True,False,False,2,3.1780538303479458,10.904137815028022
26,77100,8.0,B,35000,12.42,True,0.45,False,3,False,True,True,False,False,False,False,1,3.258096538021482,11.252871529635922
24,78956,5.0,B,35000,11.11,True,0.44,False,4,False,True,False,False,True,False,False,1,3.1780538303479458,11.276658679464603
24,83000,8.0,A,35000,8.9,True,0.42,False,2,False,True,False,False,False,True,False,0,3.1780538303479458,11.326607934898927
22,85000,6.0,B,35000,10.37,True,0.41,False,4,False,True,False,False,False,False,True,1,3.091042453358316,11.350418300109132
23,95000,2.0,A,35000,7.9,True,0.37,False,2,False,True,False,False,False,False,True,0,3.1354942159291497,11.461642696843066
26,108160,4.0,E,35000,18.39,True,0.32,False,4,False,True,True,False,False,False,False,4,3.258096538021482,11.591376136796182
23,115000,2.0,A,35000,7.9,False,0.3,False,4,False,True,True,False,False,False,False,0,3.1354942159291497,11.652696102959753
23,120000,0.0,A,35000,7.9,False,0.29,False,4,False,True,True,False,False,False,False,0,3.1354942159291497,11.695255355062795
23,92111,7.0,F,35000,20.25,True,0.32,False,4,False,True,False,False,True,False,False,5,3.1354942159291497,11.430760506915592
23,113000,8.0,D,35000,18.25,True,0.31,False,4,False,True,False,False,False,False,False,3,3.1354942159291497,11.635151947212842
25,162500,2.0,A,35000,7.49,False,0.22,False,4,False,True,False,False,False,False,True,0,3.2188758248682006,11.998439434579149
25,137000,9.0,E,34800,16.77,False,0.25,True,2,False,True,False,False,False,True,False,4,3.2188758248682006,11.827743504053695
22,65000,4.0,D,34000,17.58,True,0.52,False,4,False,True,True,False,False,False,False,3,3.091042453358316,11.082157933374816
22,80000,3.0,D,33950,14.54,True,0.42,True,4,False,True,False,False,False,True,False,3,3.091042453358316,11.289794413577894
24,67746,8.0,C,33000,12.68,True,0.49,False,3,False,True,False,True,False,False,False,2,3.1780538303479458,11.123535457318734
24,65000,6.0,B,32500,9.99,True,0.5,False,3,False,True,False,True,False,False,False,1,3.1780538303479458,11.082157933374816
25,120000,2.0,A,32000,6.62,False,0.27,False,2,False,True,False,False,False,False,True,0,3.2188758248682006,11.695255355062795
26,95000,7.0,C,31050,14.17,True,0.33,True,3,False,True,False,True,False,False,False,2,3.258096538021482,11.461642696843066
22,48000,1.0,E,30000,18.39,True,0.63,False,2,False,True,True,False,False,False,False,4,3.091042453358316,10.778977123006351
24,64000,8.0,D,30000,14.54,True,0.47,True,3,False,True,False,False,False,False,False,3,3.1780538303479458,11.06665398721974
25,75000,4.0,D,30000,16.89,True,0.4,True,4,False,True,False,True,False,False,False,3,3.2188758248682006,11.225256725762893
23,71500,3.0,D,30000,15.31,True,0.42,False,4,False,True,False,False,False,False,False,3,3.1354942159291497,11.177466714598282
26,62050,6.0,E,30000,17.99,True,0.41,False,2,False,True,False,False,True,False,False,4,3.258096538021482,11.035711906538346
26,80690,8.0,A,30000,7.49,True,0.37,False,3,False,True,False,False,False,True,False,0,3.258096538021482,11.29838232387519
22,66300,4.0,B,30000,12.69,True,0.38,False,3,False,True,False,False,True,False,False,1,3.091042453358316,11.101960259016467
26,89028,0.0,A,30000,6.62,True,0.34,False,3,False,True,False,False,False,False,False,0,3.258096538021482,11.396717438335704
24,78000,4.0,D,30000,15.31,True,0.38,True,4,False,True,False,False,False,False,False,3,3.1780538303479458,11.264476926102367
23,78000,7.0,F,30000,18.62,True,0.38,True,3,False,True,False,False,False,False,False,5,3.1354942159291497,11.264476926102367
23,92004,6.0,C,30000,15.23,True,0.33,True,3,False,True,False,False,False,True,False,2,3.1354942159291497,11.429598202380475
23,97000,7.0,B,30000,10.65,True,0.31,False,2,False,True,False,False,False,False,True,1,3.1354942159291497,11.48247656671073
25,120000,9.0,A,30000,7.9,False,0.25,False,4,False,True,True,False,False,False,False,0,3.2188758248682006,11.695255355062795
25,128000,9.0,A,30000,7.29,False,0.23,False,4,False,True,False,False,False,True,False,0,3.2188758248682006,11.759793355371237
21,131000,0.0,A,30000,5.99,False,0.23,False,4,False,True,False,False,False,False,True,0,3.044522437723423,11.782960235741939
25,221850,9.0,D,25000,15.7,True,0.1,False,2,False,False,False,False,True,False,False,3,3.2188758248682006,12.309761264347044
22,70000,6.0,D,29100,15.99,True,0.42,False,3,False,True,True,False,False,False,False,3,3.091042453358316,11.156264806643742
22,56950,6.0,A,28000,7.49,True,0.49,False,2,False,True,False,False,True,False,False,0,3.091042453358316,10.949946527983677
23,65000,2.0,A,28000,7.9,True,0.43,False,2,False,True,True,False,False,False,False,0,3.1354942159291497,11.082157933374816
26,85000,2.0,A,28000,7.49,True,0.33,False,3,False,True,False,False,False,False,True,0,3.258096538021482,11.350418300109132
22,88000,6.0,B,28000,9.91,True,0.32,False,3,False,True,False,False,False,False,True,1,3.091042453358316,11.385103457032141
24,83004,0.0,D,28000,15.99,True,0.34,True,4,False,True,False,False,False,False,True,3,3.1780538303479458,11.326656125928176
25,100000,5.0,B,28000,12.69,False,0.28,False,3,False,True,False,False,False,False,False,1,3.2188758248682006,11.51293546492023
26,110000,10.0,A,28000,8.9,False,0.25,False,2,False,True,True,False,False,False,False,0,3.258096538021482,11.608244735642321
22,108000,6.0,B,28000,10.99,True,0.26,False,4,False,True,True,False,False,False,False,1,3.091042453358316,11.58989576532275
23,151200,7.0,B,28000,11.11,False,0.19,False,2,False,True,False,False,False,False,False,1,3.1354942159291497,11.926365356462313
24,69000,2.0,A,27600,7.49,True,0.4,False,2,False,True,False,True,False,False,False,0,3.1780538303479458,11.141876276228
22,70000,4.0,C,27500,13.06,True,0.39,True,3,False,True,True,False,False,False,False,2,3.091042453358316,11.156264806643742
26,73200,5.0,D,27050,15.62,True,0.37,True,2,False,True,False,False,False,False,True,3,3.258096538021482,11.200964361058276
24,83000,5.0,C,27000,13.49,True,0.33,True,2,False,True,False,False,False,True,False,2,3.1780538303479458,11.326607934898927
24,73399,0.0,D,27000,15.31,True,0.37,False,3,False,True,False,False,False,False,True,3,3.1780538303479458,11.203679214602607
23,62500,7.0,B,26000,11.71,True,0.42,False,2,False,True,False,False,True,False,False,1,3.1354942159291497,11.042937835596494
23,120000,1.0,B,25600,12.69,False,0.21,False,3,False,True,True,False,False,False,False,1,3.1354942159291497,11.695255355062795
22,60000,0.0,B,25475,10.99,True,0.42,False,3,False,True,False,False,False,False,True,1,3.091042453358316,11.002116507732017
25,221004,6.0,D,11900,14.42,True,0.05,True,3,False,False,False,False,False,False,False,3,3.2188758248682006,12.30594060467835
26,232500,0.0,C,25000,14.17,False,0.11,True,2,False,False,False,False,True,False,False,2,3.258096538021482,12.356649805075568
25,230000,5.0,C,35000,13.99,False,0.15,False,4,False,False,False,False,True,False,False,2,3.2188758248682006,12.345838935721968
23,83000,7.0,B,25300,10.99,True,0.3,False,3,False,True,True,False,False,False,False,1,3.1354942159291497,11.326607934898927
